Table Names,고유 ID,주문 번호,주문 일자,배송 일자,배송 방법,고객번호,고객명,고객 세그먼트,시군구,시도,국가,지역,제품 코드,제품 대분류,제품 중분류,제품명,매출,수량,할인율,수익,반품?,관리자
영업 실적 2019년.xlsx/영업 실적 2019년,42,ID-2019-34709,2019-04-16,2019-04-22,표준 배송,LC-16870,진창우,소비자,순창군,전라북도,대한민국,호남,OFF-BI-10004098,사무용품,바인더,"Acco 3-Hole Punch, Durable",203190.12,7,0.1,-20434.68,,정신
영업 실적 2019년.xlsx/영업 실적 2019년,54,IN-2019-34702,2019-09-14,2019-09-19,표준 배송,EM-13960,권상혁,소비자,계양구,인천광역시,대한민국,수도권,OFF-ST-10000704,사무용품,수납용품,"Rogers File Cart, Blue",387405.18,3,0.1,116136.18,,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,55,IN-2019-34702,2019-09-14,2019-09-19,표준 배송,EM-13960,권상혁,소비자,계양구,인천광역시,대한민국,수도권,FUR-BO-10004806,가구,책장,"Safco Corner Shelving, Traditional",1234838.52,9,0.1,384127.92,,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,56,IN-2019-34702,2019-09-14,2019-09-19,표준 배송,EM-13960,권상혁,소비자,계양구,인천광역시,대한민국,수도권,FUR-FU-10003939,가구,가구류,"Tenex Photo Frame, Duo Pack",333509.4,7,0.1,96175.8,,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,57,IN-2019-34702,2019-09-14,2019-09-19,표준 배송,EM-13960,권상혁,소비자,계양구,인천광역시,대한민국,수도권,FUR-FU-10001477,가구,가구류,"Rubbermaid Stacking Tray, Black",185068.8,8,0.1,24480,,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,58,IN-2019-34702,2019-09-14,2019-09-19,표준 배송,EM-13960,권상혁,소비자,계양구,인천광역시,대한민국,수도권,OFF-AR-10002797,사무용품,필기구,"Sanford Highlighters, Blue",72292.5,5,0.1,15988.5,,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,59,IN-2019-34702,2019-09-14,2019-09-19,표준 배송,EM-13960,권상혁,소비자,계양구,인천광역시,대한민국,수도권,TEC-AC-10000420,사무기기,악세사리,"Belkin Router, USB",475450.56,2,0.1,179609.76,,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,60,IN-2019-34702,2019-09-14,2019-09-19,표준 배송,EM-13960,권상혁,소비자,계양구,인천광역시,대한민국,수도권,TEC-CO-10003393,사무기기,복사기,"Sharp Personal Copier, Digital",988465.68,9,0.1,-77056.92,,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,61,IN-2019-34702,2019-09-14,2019-09-19,표준 배송,EM-13960,권상혁,소비자,계양구,인천광역시,대한민국,수도권,OFF-BI-10002853,사무용품,바인더,"Avery Binder Covers, Recycled",20985.48,2,0.1,8623.08,,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,62,IN-2019-34702,2019-09-14,2019-09-19,표준 배송,EM-13960,권상혁,소비자,계양구,인천광역시,대한민국,수도권,OFF-AR-10000539,사무용품,필기구,"Boston Markers, Easy-Erase",122277.6,5,0.1,-4100.4,,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,73,ID-2019-67952,2019-07-06,2019-07-10,표준 배송,CS-12175,이한울,기업 고객,광명시,경기도,대한민국,수도권,TEC-AC-10000111,사무기기,악세사리,"SanDisk Mouse, USB",23574.24,1,0.4,-15716.16,,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,75,IN-2019-41681,2019-10-04,2019-10-09,표준 배송,MS-17710,한정호,소비자,음성군,충청북도,대한민국,충청,OFF-AR-10004780,사무용품,필기구,"Stanley Markers, Blue",61138.8,3,0.1,25795.8,,금나나
영업 실적 2019년.xlsx/영업 실적 2019년,80,ID-2019-18448,2019-06-18,2019-06-22,표준 배송,NC-18415,윤성주,소비자,함평군,전라남도,대한민국,호남,OFF-LA-10002272,사무용품,라벨,"Smead File Folder Labels, Alphabetical",9406.44,2,0.47,-6933.96,,정신
영업 실적 2019년.xlsx/영업 실적 2019년,81,ID-2019-18448,2019-06-18,2019-06-22,표준 배송,NC-18415,윤성주,소비자,함평군,전라남도,대한민국,호남,OFF-BI-10004868,사무용품,바인더,"Wilson Jones Hole Reinforcements, Durable",35734.986,7,0.17,-6034.014,,정신
영업 실적 2019년.xlsx/영업 실적 2019년,82,ID-2019-18448,2019-06-18,2019-06-22,표준 배송,NC-18415,윤성주,소비자,함평군,전라남도,대한민국,호남,OFF-LA-10004848,사무용품,라벨,"Avery Legal Exhibit Labels, 5000 Label Set",19023.714,3,0.47,-1447.686,,정신
영업 실적 2019년.xlsx/영업 실적 2019년,90,ID-2019-79964,2019-01-06,2019-01-07,특급 배송,RS-19765,차보민,기업 고객,부산진구,부산광역시,대한민국,영남,OFF-ST-10003445,사무용품,수납용품,"Rogers Folders, Industrial",85842.18,3,0.1,-6692.22,,최진수
영업 실적 2019년.xlsx/영업 실적 2019년,94,IN-2019-59755,2019-04-27,2019-04-30,빠른 배송,PG-18820,반미애,소비자,공주시,충청남도,대한민국,충청,FUR-CH-10004009,가구,의자,"SAFCO Rocking Chair, Set of Two",139903.2,1,0,32160.6,,금나나
영업 실적 2019년.xlsx/영업 실적 2019년,95,IN-2019-59755,2019-04-27,2019-04-30,빠른 배송,PG-18820,반미애,소비자,공주시,충청남도,대한민국,충청,FUR-BO-10000288,가구,책장,"Safco Classic Bookcase, Traditional",1340739,3,0,40208.4,,금나나
영업 실적 2019년.xlsx/영업 실적 2019년,112,IN-2019-72859,2019-05-17,2019-05-21,표준 배송,LC-17050,나효영,소비자,칠곡군,경상북도,대한민국,영남,OFF-BI-10000089,사무용품,바인더,"Wilson Jones 3-Hole Punch, Recycled",168007.77,7,0.17,64763.37,,최진수
영업 실적 2019년.xlsx/영업 실적 2019년,118,ID-2019-18504,2019-10-23,2019-10-27,빠른 배송,FH-14365,한수혜,기업 고객,수성구,대구광역시,대한민국,영남,TEC-CO-10000764,사무기기,복사기,"Brother Fax Machine, Color",489569.4,3,0.5,-372157.2,,최진수
영업 실적 2019년.xlsx/영업 실적 2019년,119,ID-2019-18504,2019-10-23,2019-10-27,빠른 배송,FH-14365,한수혜,기업 고객,수성구,대구광역시,대한민국,영남,OFF-LA-10003396,사무용품,라벨,"Avery Color Coded Labels, Laser Printer Compatible",13555.8,2,0.5,-7619.4,,최진수
영업 실적 2019년.xlsx/영업 실적 2019년,139,ID-2019-36242,2019-09-07,2019-09-09,빠른 배송,TS-21610,정인희,소비자,남구,부산광역시,대한민국,영남,OFF-SU-10000062,사무용품,일반 사무용품,"Stiletto Scissors, High Speed",173391.84,8,0.1,-15593.76,,최진수
영업 실적 2019년.xlsx/영업 실적 2019년,140,ID-2019-36242,2019-09-07,2019-09-09,빠른 배송,TS-21610,정인희,소비자,남구,부산광역시,대한민국,영남,OFF-BI-10000006,사무용품,바인더,"Ibico Binder, Durable",31175.28,2,0.1,3757.68,,최진수
영업 실적 2019년.xlsx/영업 실적 2019년,141,ID-2019-36242,2019-09-07,2019-09-09,빠른 배송,TS-21610,정인희,소비자,남구,부산광역시,대한민국,영남,TEC-CO-10003574,사무기기,복사기,"Brother Personal Copier, High-Speed",518082.48,4,0.1,189928.08,,최진수
영업 실적 2019년.xlsx/영업 실적 2019년,142,ID-2019-36242,2019-09-07,2019-09-09,빠른 배송,TS-21610,정인희,소비자,남구,부산광역시,대한민국,영남,FUR-BO-10004821,가구,책장,"Dania Corner Shelving, Traditional",672361.56,6,0.1,-165.24,,최진수
영업 실적 2019년.xlsx/영업 실적 2019년,143,ID-2019-36242,2019-09-07,2019-09-09,빠른 배송,TS-21610,정인희,소비자,남구,부산광역시,대한민국,영남,OFF-AR-10000762,사무용품,필기구,"BIC Pens, Water Color",80141.4,5,0.1,13280.4,,최진수
영업 실적 2019년.xlsx/영업 실적 2019년,146,IN-2019-66923,2019-06-21,2019-06-26,표준 배송,CS-12175,이한울,기업 고객,광명시,경기도,대한민국,수도권,OFF-LA-10000784,사무용품,라벨,"Harbour Creations File Folder Labels, 5000 Label Set",16744.32,2,0.1,7441.92,,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,147,IN-2019-66923,2019-06-21,2019-06-26,표준 배송,CS-12175,이한울,기업 고객,광명시,경기도,대한민국,수도권,OFF-ST-10003953,사무용품,수납용품,"Smead File Cart, Industrial",825098.4,7,0.1,164934,,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,148,IN-2019-66923,2019-06-21,2019-06-26,표준 배송,CS-12175,이한울,기업 고객,광명시,경기도,대한민국,수도권,OFF-AR-10000762,사무용품,필기구,"BIC Pens, Water Color",144254.52,9,0.1,23904.72,,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,149,IN-2019-66923,2019-06-21,2019-06-26,표준 배송,CS-12175,이한울,기업 고객,광명시,경기도,대한민국,수도권,TEC-PH-10000297,사무기기,전화기,"Apple Office Telephone, with Caller ID",179781.12,3,0.1,57870.72,,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,161,IN-2019-11938,2019-11-01,2019-11-05,표준 배송,EL-13735,김민재,홈 오피스,강북구,서울특별시,대한민국,수도권,FUR-BO-10001255,가구,책장,"Ikea Library with Doors, Mobile",2687243.04,8,0.1,119291.04,,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,162,IN-2019-62828,2019-01-31,2019-02-02,빠른 배송,AB-10150,정우석,소비자,동구,광주광역시,대한민국,호남,FUR-FU-10003939,가구,가구류,"Tenex Photo Frame, Duo Pack",211752,5,0.2,42228,,정신
영업 실적 2019년.xlsx/영업 실적 2019년,177,IN-2019-51768,2019-05-28,2019-06-02,표준 배송,CC-12430,임호섭,홈 오피스,유성구,대전광역시,대한민국,충청,FUR-FU-10001129,가구,가구류,"Deflect-O Stacking Tray, Black",103428,4,0,15422.4,,금나나
영업 실적 2019년.xlsx/영업 실적 2019년,178,ID-2019-52370,2019-05-30,2019-06-03,표준 배송,JR-15670,성미령,소비자,순천시,전라남도,대한민국,호남,OFF-BI-10002881,사무용품,바인더,"Wilson Jones Binding Machine, Economy",41449.536,1,0.17,-7510.464,,정신
영업 실적 2019년.xlsx/영업 실적 2019년,179,ID-2019-52370,2019-05-30,2019-06-03,표준 배송,JR-15670,성미령,소비자,순천시,전라남도,대한민국,호남,FUR-CH-10002573,가구,의자,"Office Star Executive Leather Armchair, Adjustable",1731195,5,0.27,-237150,,정신
영업 실적 2019년.xlsx/영업 실적 2019년,180,ID-2019-52370,2019-05-30,2019-06-03,표준 배송,JR-15670,성미령,소비자,순천시,전라남도,대한민국,호남,OFF-BI-10000006,사무용품,바인더,"Ibico Binder, Durable",28750.536,2,0.17,1332.936,,정신
영업 실적 2019년.xlsx/영업 실적 2019년,187,IN-2019-31678,2019-02-24,2019-02-28,표준 배송,LW-17215,안병철,소비자,강북구,서울특별시,대한민국,수도권,TEC-AC-10002221,사무기기,악세사리,"Memorex Mouse, Bluetooth",28733.4,1,0,3427.2,,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,188,ID-2019-12624,2019-08-30,2019-09-03,빠른 배송,JJ-15760,유해선,홈 오피스,서구,인천광역시,대한민국,수도권,FUR-TA-10003954,가구,탁자,"Barricks Conference Table, with Bottom Storage",1295310.24,2,0.3,-37013.76,,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,189,ID-2019-12624,2019-08-30,2019-09-03,빠른 배송,JJ-15760,유해선,홈 오피스,서구,인천광역시,대한민국,수도권,OFF-PA-10003744,사무용품,종이,"Green Bar Parchment Paper, Multicolor",55355.4,3,0,17625.6,,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,190,ID-2019-12624,2019-08-30,2019-09-03,빠른 배송,JJ-15760,유해선,홈 오피스,서구,인천광역시,대한민국,수도권,TEC-AC-10002482,사무기기,악세사리,"Logitech Mouse, Erganomic",82895.4,3,0,826.2,,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,197,IN-2019-49633,2019-10-09,2019-10-14,표준 배송,CL-12700,한우빈,홈 오피스,수원시,경기도,대한민국,수도권,OFF-SU-10002445,사무용품,일반 사무용품,"Fiskars Trimmer, High Speed",258876,6,0,74908.8,,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,211,IN-2019-29676,2019-01-18,2019-01-23,표준 배송,SS-20515,나한빛,홈 오피스,여수시,전라남도,대한민국,호남,FUR-CH-10003232,가구,의자,"Harbour Creations Executive Leather Armchair, Adjustable",1403362.512,4,0.27,96008.112,,정신
영업 실적 2019년.xlsx/영업 실적 2019년,213,IN-2019-17076,2019-07-20,2019-07-20,당일 배송,TH-21115,김예성,기업 고객,부산진구,부산광역시,대한민국,영남,OFF-ST-10000327,사무용품,수납용품,"Smead Folders, Wire Frame",45606.24,3,0.1,2001.24,,최진수
영업 실적 2019년.xlsx/영업 실적 2019년,214,IN-2019-17076,2019-07-20,2019-07-20,당일 배송,TH-21115,김예성,기업 고객,부산진구,부산광역시,대한민국,영남,FUR-FU-10002803,가구,가구류,"Deflect-O Stacking Tray, Erganomic",43898.76,2,0.1,-1022.04,,최진수
영업 실적 2019년.xlsx/영업 실적 2019년,216,IN-2019-25861,2019-02-27,2019-03-03,표준 배송,JH-15910,신주철,소비자,서구,대구광역시,대한민국,영남,OFF-PA-10000302,사무용품,종이,"Eaton Computer Printout Paper, Multicolor",51334.56,2,0.1,15348.96,,최진수
영업 실적 2019년.xlsx/영업 실적 2019년,217,IN-2019-10405,2019-10-11,2019-10-16,표준 배송,BT-11395,이혜영,기업 고객,청주시,충청북도,대한민국,충청,OFF-AR-10002417,사무용품,필기구,"Boston Sketch Pad, Water Color",142602.12,3,0.1,1505.52,,금나나
영업 실적 2019년.xlsx/영업 실적 2019년,218,IN-2019-18021,2019-09-19,2019-09-25,표준 배송,BT-11680,장재찬,소비자,동구,울산광역시,대한민국,영남,OFF-ST-10002066,사무용품,수납용품,"Smead File Cart, Blue",107916.102,1,0.17,15595.902,,최진수
영업 실적 2019년.xlsx/영업 실적 2019년,219,IN-2019-11448,2019-02-07,2019-02-12,표준 배송,TC-21295,박희정,소비자,목포시,전라남도,대한민국,호남,FUR-TA-10002860,가구,탁자,"Hon Training Table, with Bottom Storage",1018062,3,0,427512.6,,정신
영업 실적 2019년.xlsx/영업 실적 2019년,220,IN-2019-11448,2019-02-07,2019-02-12,표준 배송,TC-21295,박희정,소비자,목포시,전라남도,대한민국,호남,OFF-EN-10000114,사무용품,봉투,"Kraft Clasp Envelope, Security-Tint",11628,1,0,214.2,,정신
영업 실적 2019년.xlsx/영업 실적 2019년,221,IN-2019-37159,2019-05-24,2019-05-28,표준 배송,CR-12625,신형철,홈 오피스,동구,울산광역시,대한민국,영남,OFF-PA-10002073,사무용품,종이,"Green Bar Parchment Paper, 8.5 x 11",148654.8,7,0,57834,,최진수
영업 실적 2019년.xlsx/영업 실적 2019년,243,IN-2019-55576,2019-02-22,2019-02-28,표준 배송,LS-17230,김민경,소비자,중구,울산광역시,대한민국,영남,TEC-MA-10004428,사무기기,전산기기,"Panasonic Card Printer, Durable",638707.68,4,0.1,262572.48,,최진수
영업 실적 2019년.xlsx/영업 실적 2019년,249,IN-2019-62835,2019-04-18,2019-04-23,표준 배송,MG-17680,남유비,홈 오피스,양평군,경기도,대한민국,수도권,TEC-AC-10003776,사무기기,악세사리,"Belkin Flash Drive, Programmable",88617.6,2,0,15055.2,,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,256,ID-2019-69114,2019-05-02,2019-05-07,표준 배송,KH-16690,고서준,기업 고객,시흥시,경기도,대한민국,수도권,OFF-ST-10001755,사무용품,수납용품,"Smead Lockers, Single Width",643692.42,6,0.47,-24427.98,,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,257,ID-2019-69114,2019-05-02,2019-05-07,표준 배송,KH-16690,고서준,기업 고객,시흥시,경기도,대한민국,수도권,OFF-SU-10002306,사무용품,일반 사무용품,"Elite Scissors, Steel",23710.716,2,0.47,-10744.884,,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,258,ID-2019-73069,2019-09-18,2019-09-18,당일 배송,JF-15565,사용성,소비자,평창군,강원도,대한민국,강원,OFF-PA-10001236,사무용품,종이,"Enermax Message Books, Recycled",41144.76,2,0.1,-1878.84,,박진석
영업 실적 2019년.xlsx/영업 실적 2019년,259,ID-2019-73069,2019-09-18,2019-09-18,당일 배송,JF-15565,사용성,소비자,평창군,강원도,대한민국,강원,FUR-BO-10002387,가구,책장,"Safco Library with Doors, Metal",1786657.5,5,0.1,39703.5,,박진석
영업 실적 2019년.xlsx/영업 실적 2019년,260,ID-2019-73069,2019-09-18,2019-09-18,당일 배송,JF-15565,사용성,소비자,평창군,강원도,대한민국,강원,TEC-PH-10003823,사무기기,전화기,"Apple Headset, Full Size",205310.7,3,0.1,66141.9,,박진석
영업 실적 2019년.xlsx/영업 실적 2019년,261,ID-2019-73069,2019-09-18,2019-09-18,당일 배송,JF-15565,사용성,소비자,평창군,강원도,대한민국,강원,OFF-BI-10003142,사무용품,바인더,"Acco Binder Covers, Clear",35196.12,3,0.1,-3910.68,,박진석
영업 실적 2019년.xlsx/영업 실적 2019년,262,ID-2019-73069,2019-09-18,2019-09-18,당일 배송,JF-15565,사용성,소비자,평창군,강원도,대한민국,강원,OFF-AR-10003046,사무용품,필기구,"Sanford Sketch Pad, Fluorescent",85814.64,2,0.1,19045.44,,박진석
영업 실적 2019년.xlsx/영업 실적 2019년,265,IN-2019-59867,2019-09-12,2019-09-17,표준 배송,EP-13915,허서연,소비자,남구,울산광역시,대한민국,영남,OFF-BI-10004181,사무용품,바인더,"Avery 3-Hole Punch, Clear",111506.4,4,0,12240,,최진수
영업 실적 2019년.xlsx/영업 실적 2019년,267,ID-2019-49143,2019-03-30,2019-04-03,표준 배송,RO-19780,나현지,소비자,송파구,서울특별시,대한민국,수도권,FUR-FU-10000735,가구,가구류,"Tenex Frame, Erganomic",161727.12,2,0.27,-26585.28,,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,268,IN-2019-75897,2019-12-21,2019-12-28,표준 배송,TT-21460,반세찬,홈 오피스,성북구,서울특별시,대한민국,수도권,OFF-SU-10000216,사무용품,일반 사무용품,"Stiletto Ruler, Steel",13109.04,1,0.1,2613.24,,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,298,ID-2019-22025,2019-10-10,2019-10-14,표준 배송,TS-21655,김소아,소비자,계양구,인천광역시,대한민국,수도권,TEC-CO-10000821,사무기기,복사기,"Canon Ink, High-Speed",689395.05,5,0.07,-44545.95,Yes,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,303,ID-2019-70122,2019-06-12,2019-06-16,표준 배송,AD-10180,임현선,홈 오피스,시흥시,경기도,대한민국,수도권,FUR-TA-10001386,가구,탁자,"Lesro Conference Table, Fully Assembled",2322012.15,5,0.47,-482018.85,,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,304,ID-2019-70122,2019-06-12,2019-06-16,표준 배송,AD-10180,임현선,홈 오피스,시흥시,경기도,대한민국,수도권,OFF-BI-10003031,사무용품,바인더,"Acco Index Tab, Economy",25601.184,3,0.17,5221.584,,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,305,ID-2019-70122,2019-06-12,2019-06-16,표준 배송,AD-10180,임현선,홈 오피스,시흥시,경기도,대한민국,수도권,FUR-BO-10001461,가구,책장,"Safco Floating Shelf Set, Traditional",559882.692,3,0.07,258870.492,,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,306,ID-2019-70122,2019-06-12,2019-06-16,표준 배송,AD-10180,임현선,홈 오피스,시흥시,경기도,대한민국,수도권,OFF-SU-10000885,사무용품,일반 사무용품,"Elite Box Cutter, Steel",37074.348,2,0.47,-31530.852,,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,307,ID-2019-70122,2019-06-12,2019-06-16,표준 배송,AD-10180,임현선,홈 오피스,시흥시,경기도,대한민국,수도권,FUR-CH-10002061,가구,의자,"Harbour Creations Executive Leather Armchair, Red",3188928.204,9,0.27,-131294.196,,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,308,ID-2019-70122,2019-06-12,2019-06-16,표준 배송,AD-10180,임현선,홈 오피스,시흥시,경기도,대한민국,수도권,OFF-ST-10002834,사무용품,수납용품,"Smead File Cart, Single Width",109109.808,1,0.17,5253.408,,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,310,ID-2019-71487,2019-08-23,2019-08-29,표준 배송,HG-15025,김재윤,소비자,마포구,서울특별시,대한민국,수도권,OFF-ST-10003837,사무용품,수납용품,"Tenex Lockers, Single Width",416527.2,4,0.5,-300002.4,,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,311,ID-2019-13422,2019-12-21,2019-12-24,특급 배송,AG-10765,류요환,홈 오피스,송파구,서울특별시,대한민국,수도권,FUR-TA-10004416,가구,탁자,"Bevis Wood Table, Adjustable Height",546516,2,0.5,-98409.6,,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,338,ID-2019-69534,2019-10-23,2019-10-25,빠른 배송,DB-13210,배조은,소비자,하남시,경기도,대한민국,수도권,FUR-CH-10000351,가구,의자,"Novimex Chairmat, Set of Two",71714.16,2,0.4,-3623.04,,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,339,ID-2019-69534,2019-10-23,2019-10-25,빠른 배송,DB-13210,배조은,소비자,하남시,경기도,대한민국,수도권,OFF-SU-10003515,사무용품,일반 사무용품,"Acme Shears, Serrated",57062.88,2,0.4,-27637.92,,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,340,ID-2019-69534,2019-10-23,2019-10-25,빠른 배송,DB-13210,배조은,소비자,하남시,경기도,대한민국,수도권,FUR-CH-10003354,가구,의자,"Novimex Bag Chairs, Black",79921.08,3,0.4,-51995.52,,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,341,ID-2019-69534,2019-10-23,2019-10-25,빠른 배송,DB-13210,배조은,소비자,하남시,경기도,대한민국,수도권,OFF-BI-10002558,사무용품,바인더,"Cardinal Binder Covers, Economy",36720,5,0.4,-18360,,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,342,ID-2019-69534,2019-10-23,2019-10-25,빠른 배송,DB-13210,배조은,소비자,하남시,경기도,대한민국,수도권,TEC-CO-10003448,사무기기,복사기,"Canon Ink, Laser",270167.4,3,0.4,26989.2,,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,343,IN-2019-34835,2019-06-05,2019-06-07,특급 배송,VM-21685,노우석,홈 오피스,구로구,서울특별시,대한민국,수도권,OFF-LA-10000624,사무용품,라벨,"Hon File Folder Labels, 5000 Label Set",55263.6,6,0,20379.6,,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,344,IN-2019-38405,2019-02-13,2019-02-18,표준 배송,NM-18520,홍혜지,소비자,중구,울산광역시,대한민국,영남,FUR-FU-10003658,가구,가구류,"Tenex Light Bulb, Duo Pack",58109.4,3,0,5140.8,,최진수
영업 실적 2019년.xlsx/영업 실적 2019년,345,IN-2019-38405,2019-02-13,2019-02-18,표준 배송,NM-18520,홍혜지,소비자,중구,울산광역시,대한민국,영남,OFF-BI-10000389,사무용품,바인더,"Ibico Binding Machine, Clear",415180.8,8,0,0,,최진수
영업 실적 2019년.xlsx/영업 실적 2019년,346,IN-2019-38405,2019-02-13,2019-02-18,표준 배송,NM-18520,홍혜지,소비자,중구,울산광역시,대한민국,영남,OFF-BI-10004666,사무용품,바인더,"Wilson Jones Binding Machine, Durable",102938.4,2,0,46267.2,,최진수
영업 실적 2019년.xlsx/영업 실적 2019년,347,IN-2019-38405,2019-02-13,2019-02-18,표준 배송,NM-18520,홍혜지,소비자,중구,울산광역시,대한민국,영남,FUR-BO-10003783,가구,책장,"Dania Library with Doors, Pine",1113075,3,0,200307.6,,최진수
영업 실적 2019년.xlsx/영업 실적 2019년,348,IN-2019-41667,2019-05-01,2019-05-05,표준 배송,AG-10300,최주현,기업 고객,영주시,경상북도,대한민국,영남,TEC-CO-10003496,사무기기,복사기,"Brother Wireless Fax, Digital",772038,2,0,378277.2,,최진수
영업 실적 2019년.xlsx/영업 실적 2019년,349,IN-2019-41667,2019-05-01,2019-05-05,표준 배송,AG-10300,최주현,기업 고객,영주시,경상북도,대한민국,영남,OFF-AP-10002128,사무용품,가전,"Breville Toaster, White",229041,3,0,114474.6,,최진수
